Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.804200172424316,1.8883804082870483,1.584899663925171,0.5345736742019653,0.7715099453926086,0.5352985858917236,0.12633119523525238,2.363241195678711
Denmark,Western Europe,2,7.586400032043457,1.949405550956726,1.5478748083114624,0.5373024940490723,0.7344158887863159,0.5252211689949036,0.20845851302146912,2.0837655067443848
Iceland,Western Europe,3,7.529600143432617,1.925507664680481,1.6196664571762085,0.5590963959693909,0.7381637096405029,0.1871187835931778,0.2496354877948761,2.250382423400879
Israel,Middle East and Northern Africa,4,7.472899913787842,1.8333979845046997,1.5206738710403442,0.5767300128936768,0.5685182809829712,0.15829205513000488,0.12404771149158478,2.6912899017333984
Netherlands,Western Europe,5,7.4029998779296875,1.9422738552093506,1.4882279634475708,0.545473039150238,0.6723272204399109,0.3940616548061371,0.2505474090576172,2.110043525695801
Sweden,Western Europe,6,7.395199775695801,1.920950174331665,1.510329008102417,0.5618247389793396,0.753629207611084,0.5204691290855408,0.22484809160232544,1.9031271934509277
Norway,Western Europe,7,7.315499782562256,1.9944396018981934,1.5210087299346924,0.5441108345985413,0.7518265247344971,0.4629554748535156,0.2118891179561615,1.829270362854004
Switzerland,Western Europe,8,7.240099906921387,2.021803140640259,1.4628159999847412,0.5822543501853943,0.6779153347015381,0.4747002124786377,0.15074977278709412,1.8698468208312988
Luxembourg,Western Europe,9,7.22790002822876,2.199664354324341,1.3568785190582275,0.5488784313201904,0.7096718549728394,0.4183795750141144,0.1492813527584076,1.8451805114746094
New Zealand,Australia and New Zealand,10,7.122900009155273,1.841704249382019,1.5435456037521362,0.5127779245376587,0.6719269156455994,0.4712207019329071,0.23023483157157898,1.8515191078186035
Austria,Western Europe,11,7.097300052642822,1.9267181158065796,1.381974697113037,0.5345751643180847,0.6295605897903442,0.30965307354927063,0.19094683229923248,2.1238961219787598
Australia,Australia and New Zealand,12,7.094600200653076,1.8987950086593628,1.4967434406280518,0.5318475961685181,0.6767511963844299,0.3102680742740631,0.24243208765983582,1.9377427101135254
Canada,North America,13,6.960700035095215,1.8814388513565063,1.48391854763031,0.541386604309082,0.6558169722557068,0.36449259519577026,0.2182796448469162,1.8153767585754395
Ireland,Western Europe,14,6.910799980163574,2.1521122455596924,1.4247467517852783,0.5386596918106079,0.6557011008262634,0.40908679366111755,0.18561090528964996,1.544905185699463
United States,North America,15,6.893700122833252,1.980279803276062,1.459589958190918,0.3901733458042145,0.5573698282241821,0.17225846648216248,0.20967255532741547,2.1243481636047363
Germany,Western Europe,16,6.8917999267578125,1.9194389581680298,1.4009678363800049,0.5386563539505005,0.6177360415458679,0.36495622992515564,0.1525479108095169,1.8975253105163574
Belgium,Western Europe,17,6.859099864959717,1.9068782329559326,1.448750376701355,0.5277373194694519,0.5902925133705139,0.2725510895252228,0.13719281554222107,1.9757428169250488
Czechia,Central and Eastern Europe,18,6.845200061798096,1.823468804359436,1.5439990758895874,0.47734886407852173,0.6931394934654236,0.05023914948105812,0.15776601433753967,2.0992393493652344
United Kingdom,Western Europe,19,6.795599937438965,1.8569034337997437,1.3662347793579102,0.5114142894744873,0.6261729598045349,0.34023383259773254,0.2723426818847656,1.8223381042480469
Lithuania,Central and Eastern Europe,20,6.763000011444092,1.8079818487167358,1.5105764865875244,0.43231698870658875,0.48732560873031616,0.08881905674934387,0.05851771682500839,2.377429485321045
France,Western Europe,21,6.661300182342529,1.8556448221206665,1.4334245920181274,0.5659090876579285,0.5816452503204346,0.2696537375450134,0.0826210081577301,1.872446060180664
Slovenia,Central and Eastern Europe,22,6.649899959564209,1.815317153930664,1.5388127565383911,0.5318995714187622,0.7074655294418335,0.11305804550647736,0.14415787160396576,1.7991509437561035
Costa Rica,Latin America and Caribbean,23,6.608500003814697,1.5869576930999756,1.3395427465438843,0.503240168094635,0.6831671595573425,0.11551912128925323,0.09897762537002563,2.2810611724853516
Romania,Central and Eastern Europe,24,6.589099884033203,1.7259292602539062,1.2797365188598633,0.4228858947753906,0.6309942007064819,0.0,0.044280145317316055,2.4853105545043945
Singapore,Southeastern Asia,25,6.586699962615967,2.1679413318634033,1.3544509410858154,0.6067776083946228,0.6600772142410278,0.5608206987380981,0.17009367048740387,1.0665555000305176
United Arab Emirates,Middle East and Northern Africa,26,6.571199893951416,2.0150415897369385,1.2230294942855835,0.4008787274360657,0.745395302772522,0.24732458591461182,0.18777425587177277,1.751781940460205
Taiwan Province of China,Eastern Asia,27,6.535399913787842,1.8903347253799438,1.371842384338379,0.4923414885997772,0.5619380474090576,0.1777113676071167,0.06723929941654205,1.9740161895751953
