Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.821000099182130,1.8916280269622800,1.258108377456670,0.775206446647644,0.7355902194976810,0.5336580872535710,0.10873305052518800,2.5180516242981000
Denmark,Western Europe,2,7.636199951171880,1.9525948762893700,1.2426812648773200,0.7766435146331790,0.7189184427261350,0.5320789217948910,0.1876257061958310,2.2256317138671900
Iceland,Western Europe,3,7.557499885559080,1.9357264041900600,1.3199135065078700,0.802621603012085,0.7181944847106930,0.191204234957695,0.26961612701416000,2.3201847076416000
Switzerland,Western Europe,4,7.511600017547610,2.0259697437286400,1.2260738611221300,0.8220476508140560,0.6769469380378720,0.4610044062137600,0.14682170748710600,2.1527462005615200
Netherlands,Western Europe,5,7.414899826049810,1.944577932357790,1.205848217010500,0.7867376208305360,0.650681734085083,0.4190830886363980,0.2710764706134800,2.136936664581300
Luxembourg*,Western Europe,6,7.4039998054504400,2.209395408630370,1.1545246839523300,0.7903646230697630,0.6997277736663820,0.38811996579170200,0.12020288407802600,2.041680335998540
Sweden,Western Europe,7,7.384300231933590,1.9202585220336900,1.2040431499481200,0.8026081919670110,0.7237046957015990,0.5122383832931520,0.2179296463727950,2.003476142883300
Norway,Western Europe,8,7.365099906921390,1.9971911907196000,1.239048719406130,0.7860307097435000,0.7276478409767150,0.47399914264679000,0.21664024889469100,1.9245843887329100
Israel,Middle East and Northern Africa,9,7.363800048828130,1.8259295225143400,1.2209957838058500,0.8176369667053220,0.5676404237747190,0.14261415600776700,0.15483763813972500,2.6341071128845200
New Zealand,Australia and New Zealand,10,7.19980001449585,1.8520405292511000,1.2346335649490400,0.7521170377731320,0.6797534227371220,0.48300281167030300,0.2446611374616620,1.9535832405090300
Austria,Western Europe,11,7.163000106811520,1.9313225746154800,1.1652566194534300,0.7737501859664920,0.6227887272834780,0.3291270434856420,0.1932794749736790,2.147515296936040
Australia,Australia and New Zealand,12,7.162099838256840,1.899888515472410,1.203384280204770,0.7723036408424380,0.6764959692955020,0.3410457968711850,0.25760915875434900,2.011331558227540
Ireland,Western Europe,13,7.040800094604490,2.1290323734283400,1.1656070947647100,0.7788048386573790,0.6267539262771610,0.4076792299747470,0.18968403339386000,1.743192195892330
Germany,Western Europe,14,7.03410005569458,1.9237384796142600,1.0875364542007400,0.7759007811546330,0.5851035714149480,0.35760560631752000,0.1625509113073350,2.1416497230529800
Canada,North America,15,7.025100231170650,1.8864532709121700,1.18776273727417,0.7831433415412900,0.658886194229126,0.3682062327861790,0.21696539223194100,1.9236388206481900
United States,North America,16,6.976799964904790,1.9823453426361100,1.1816372871398900,0.6281335353851320,0.5742728114128110,0.17671221494674700,0.22004161775112200,2.213618278503420
United Kingdom,Western Europe,17,6.942500114440920,1.8671802282333400,1.1430999040603600,0.7499578595161440,0.5965437293052670,0.32918664813041700,0.28907519578933700,1.9674549102783200
Czechia,Central and Eastern Europe,18,6.9197998046875,1.8150155544281000,1.2600810527801500,0.7150060534477230,0.6603860259056090,0.048207007348537400,0.15846003592014300,2.2626395225524900
Belgium,Western Europe,19,6.804999828338620,1.9072577953338600,1.1061527729034400,0.7636563181877140,0.49194300174713100,0.20354114472866100,0.0493561327457428,2.2831368446350100
France,Western Europe,20,6.686699867248540,1.8626905679702800,1.2186006307601900,0.8076454401016240,0.5671940445899960,0.2656324803829190,0.06989908218383790,1.8949899673461900
Bahrain,Middle East and Northern Africa,21,6.646900177001950,1.8539786338806200,1.0289300680160500,0.6248905062675480,0.6929103136062620,0.1545918583869930,0.19925999641418500,2.092353343963620
Slovenia,Central and Eastern Europe,22,6.630099773406980,1.80962073802948,1.2490571737289400,0.7694127559661870,0.6845259666442870,0.11475236713886300,0.11781401932239500,1.8848772048950200
Costa Rica,Latin America and Caribbean,23,6.581999778747560,1.5842736959457400,1.054443597793580,0.7442119717597960,0.6613852977752690,0.10240529477596300,0.0889740139245987,2.3462867736816400
United Arab Emirates,Middle East and Northern Africa,24,6.576000213623050,1.998103141784670,0.9795715808868410,0.6327618956565860,0.7020320296287540,0.25044122338295000,0.2037053108215330,1.8094100952148400
Saudi Arabia,Middle East and Northern Africa,25,6.522799968719480,1.869549036026000,1.09208345413208,0.5768461227416990,0.6507883667945860,0.18037278950214400,0.07841826230287550,2.0747365951538100
Taiwan Province of China,Eastern Asia,26,6.512499809265140,1.8968870639801000,1.0952037572860700,0.7326737642288210,0.5422512888908390,0.16824042797088600,0.07503262907266620,2.0021910667419400
Singapore,Southeastern Asia,27,6.480199813842770,2.148613929748540,1.1273994445800800,0.8508744239807130,0.6715790629386900,0.5868280529975890,0.1626960039138790,0.9321718215942380
Romania,Central and Eastern Europe,28,6.4770002365112300,1.7188928127288800,1.0061519145965600,0.6554091572761540,0.6052556037902830,0.006143508478999140,0.03927204757928850,2.445876121521000
Spain,Western Europe,29,6.47629976272583,1.8080835342407200,1.211014986038210,0.8083633184432980,0.5049465894699100,0.14901389181613900,0.10146153718233100,1.89337158203125
Uruguay,Latin America and Caribbean,30,6.473599910736080,1.6145362854003900,1.1796176433563200,0.6720983982086180,0.6649817228317260,0.26524412631988500,0.10261441022157700,1.9744925498962400
Italy,Western Europe,31,6.466700077056890,1.834216833114620,1.0517305135726900,0.8011638522148130,0.4124963581562040,0.05925849825143810,0.08534713089466100,2.22244930267334
Kosovo,Central and Eastern Europe,32,6.455100059509280,1.3621175289154100,0.9493407011032100,0.5694798827171330,0.5988550186157230,0.03500910475850110,0.3091844320297240,2.631157159805300
Malta,Western Europe,33,6.446899890899660,1.8382794857025100,1.168923258781430,0.7889099717140200,0.6791720986366270,0.16584274172782900,0.1742989420890810,1.631462574005130
Lithuania,Central and Eastern Europe,34,6.4456000328064000,1.8039295673370400,1.203661322593690,0.6592584848403930,0.49565961956977800,0.0769382119178772,0.05324197933077810,2.152947425842290
Slovakia,Central and Eastern Europe,35,6.390699863433840,1.736467957496640,1.231731653213500,0.7073143124580380,0.4786492884159090,0.024537771940231300,0.117824986577034,2.09413480758667
Estonia,Central and Eastern Europe,36,6.340799808502200,1.7934857606887800,1.2323181629180900,0.7275119423866270,0.68930983543396,0.33288466930389400,0.12293189764022800,1.4423422813415500
Panama,Latin America and Caribbean,37,6.309100151062010,1.7148849964141800,1.1065844297409100,0.709470808506012,0.5923488140106200,0.05129002779722210,0.04885655641555790,2.085679054260250
Brazil,Latin America and Caribbean,38,6.292799949646000,1.4618858098983800,1.0441974401474,0.6145867109298710,0.5463461875915530,0.13427786529064200,0.13104112446308100,2.360506772995000
Guatemala*,Latin America and Caribbean,39,6.262199878692630,1.2736423015594500,0.8310883045196530,0.5221021771430970,0.6621544361114500,0.11478934437036500,0.11223294585943200,2.7461655139923100
Kazakhstan,Central and Eastern Europe,40,6.234099864959720,1.6679818630218500,1.2201673984527600,0.6112638115882870,0.5835369825363160,0.15714138746261600,0.1337936967611310,1.8602371215820300
Cyprus,Western Europe,41,6.220900058746340,1.8150652647018400,0.9093149900436400,0.8191651701927190,0.44814634323120100,0.061779703944921500,0.1233266219496730,2.044133186340330
Latvia,Central and Eastern Europe,42,6.1803998947143600,1.731594204902650,1.220850944519040,0.6374402046203610,0.5020811557769780,0.09049143642187120,0.07528442144393920,1.9226579666137700
Serbia,Central and Eastern Europe,43,6.177999973297120,1.5497493743896500,1.085569143295290,0.6583009362220760,0.5458604693412780,0.088397316634655,0.21863941848278000,2.031452178955080
Chile,Latin America and Caribbean,44,6.171800136566160,1.6513581275939900,1.079747200012210,0.7484585046768190,0.4600219428539280,0.06859377026557920,0.12367241829633700,2.0399889945983900
Nicaragua,Latin America and Caribbean,45,6.164599895477300,1.104727864265440,1.029070258140560,0.6165152192115780,0.6167458891868590,0.2118580937385560,0.16780778765678400,2.4178876876831100
Mexico,Latin America and Caribbean,46,6.127600193023680,1.5515265464782700,0.8856733441352840,0.6230612993240360,0.6213710308074950,0.11522772908210800,0.09187618643045430,2.23891019821167
Croatia,Central and Eastern Europe,47,6.125199794769290,1.7053600549697900,1.1832774877548200,0.7087388634681700,0.5346104502677920,0.0,0.10914544016122800,1.884073257446290
Poland,Central and Eastern Europe,48,6.122799873352050,1.7575041055679300,1.1735914945602400,0.7116442322731020,0.5229921340942380,0.14011771976947800,0.12417715042829500,1.692728042602540
El Salvador,Latin America and Caribbean,49,6.119999885559080,1.2648930549621600,0.7678723931312560,0.6068511605262760,0.6659149527549740,0.21183757483959200,0.08867558091878890,2.5139522552490200
Kuwait*,Middle East and Northern Africa,50,6.106100082397460,1.903865098953250,0.9832875728607180,0.7470964789390560,0.6173350811004640,0.1466420590877530,0.08695419877767560,1.6209392547607400
Hungary,Central and Eastern Europe,51,6.085899829864500,1.747837781906130,1.2325856685638400,0.6676573753356930,0.48464435338974,0.06388397514820100,0.07769043743610380,1.8116374015808100
Mauritius,Sub-Saharan Africa,52,6.071100234985350,1.5911095142364500,1.1163902282714800,0.5675454139709470,0.5894469022750850,0.10696118324995000,0.13085348904132800,1.9688191413879400
Uzbekistan,Central and Eastern Europe,53,6.062699794769290,1.2191461324691800,1.0915559530258200,0.5997484922409060,0.7156714200973510,0.2404218465089800,0.2831294536590580,1.913071632385250
Japan,Eastern Asia,54,6.038899898529050,1.8345048427581800,1.0893537998199500,0.8660697937011720,0.5365419387817380,0.21819579601287800,0.007166543044149880,1.4870305061340300
Honduras,Latin America and Caribbean,55,6.02209997177124,1.1112792491912800,0.8850036859512330,0.5545865297317510,0.5821523070335390,0.07648828625679020,0.20199593901634200,2.610586404800420
Portugal,Western Europe,56,6.016300201416020,1.759892225265500,1.078463077545170,0.7766397595405580,0.6546880602836610,0.03916577249765400,0.016330352053046200,1.6911158561706500
Argentina,Latin America and Caribbean,57,5.9670000076293900,1.5916556119918800,1.101975917816160,0.6619763970375060,0.5553756952285770,0.08492603152990340,0.0805148184299469,1.8905558586120600
Greece,Western Europe,58,5.948200225830080,1.7030614614486700,0.9803828001022340,0.773688793182373,0.24916474521160100,0.10833656042814300,0.014922902919352100,2.1185991764068600
South Korea,Eastern Asia,59,5.935100078582760,1.8510887622833300,0.8857672810554500,0.8414944410324100,0.4138626456260680,0.17606528103351600,0.111005038022995,1.6558270454406700
Philippines,Southeastern Asia,60,5.903600215911870,1.2676912546157800,0.9119067192077640,0.5139776468276980,0.6784930229187010,0.1416739821434020,0.10729134827852200,2.282597780227660
Thailand,Southeastern Asia,61,5.891200065612790,1.5350263118743900,1.0955945253372200,0.6968042850494390,0.6166512966156010,0.026037082076072700,0.3209993243217470,1.6001362800598100
Moldova,Central and Eastern Europe,62,5.856800079345700,1.4173669815063500,1.0084724426269500,0.596850574016571,0.5612049102783200,0.02848857454955580,0.10230626910924900,2.1421079635620100
Jamaica,Latin America and Caribbean,63,5.849599838256840,1.2958128452301000,1.0448073148727400,0.6461374759674070,0.5668863654136660,0.05267925187945370,0.0796772912144661,2.16361927986145
Kyrgyzstan,Central and Eastern Europe,64,5.828499794006350,1.0685728788375900,1.109461784362790,0.6379151344299320,0.6930596232414250,0.024779101833701100,0.2081545740365980,2.086512804031370
Belarus*,Central and Eastern Europe,65,5.821499824523930,1.5619453191757200,1.1565419435501100,0.6288302540779110,0.3418358862400060,0.2820110619068150,0.03955039754509930,1.8107380867004400
Colombia,Latin America and Caribbean,66,5.780600070953370,1.451734185218810,0.9286164045333860,0.720436155796051,0.5450152158737180,0.07672437280416490,0.0871150940656662,1.9709463119506800
Bosnia and Herzegovina,Central and Eastern Europe,67,5.76800012588501,1.4682552814483600,1.0680179595947300,0.6648434996604920,0.4481370151042940,0.005504802335053680,0.2439352571964260,1.8692753314971900
Mongolia,Eastern Asia,68,5.760700225830080,1.3929768800735500,1.1974509954452500,0.4672314524650570,0.39782682061195400,0.059239357709884600,0.24714121222496000,1.998868703842160
Dominican Republic,Latin America and Caribbean,69,5.737199783325200,1.5375359058380100,1.002897024154660,0.5767497420310970,0.606073796749115,0.17866824567318000,0.08404497057199480,1.7512781620025600
Malaysia,Southeastern Asia,70,5.711299896240230,1.68926203250885,0.9376586079597470,0.6198279857635500,0.6542719006538390,0.12564919888973200,0.21315805613994600,1.4714970588684100
Bolivia,Latin America and Caribbean,71,5.600299835205080,1.2558046579361000,0.8798621296882630,0.5552874207496640,0.6268607378005980,0.06418066471815110,0.11162987351417500,2.1067111492157000
China,Eastern Asia,72,5.585299968719480,1.5084460973739600,0.9583731293678280,0.7045094966888430,0.656482458114624,0.14225631952285800,0.09929051250219350,1.5159173011779800
Paraguay,Latin America and Caribbean,73,5.5782999992370600,1.4085841178894000,1.1302772760391200,0.6244637966156010,0.6288774609565740,0.05936434492468830,0.1712423712015150,1.555448055267330
Peru,Latin America and Caribbean,74,5.559100151062010,1.3974946737289400,0.8646109104156490,0.7348531484603880,0.5452592372894290,0.0369969941675663,0.08959510177373890,1.8903138637542700
Montenegro,Central and Eastern Europe,75,5.546800136566160,1.5733555555343600,1.0233640670776400,0.6590551137924190,0.46023014187812800,0.07701002061367040,0.1347978413105010,1.6189701557159400
Ecuador,Latin America and Caribbean,76,5.533299922943120,1.3516987562179600,0.87916100025177,0.708149254322052,0.5647234916687010,0.08311454206705090,0.08032120764255520,1.8661065101623500
Vietnam,Southeastern Asia,77,5.485000133514400,1.2522993087768600,0.9315484166145330,0.6108152866363530,0.7069714069366460,0.10533768683672000,0.1429642289876940,1.7350594997406000
Turkmenistan*,Southern Asia,78,5.474299907684330,1.4843127727508500,1.3189550638198900,0.5163330435752870,0.6489843726158140,0.03160462900996210,0.3142988681793210,1.159811019897460
North Cyprus*,Middle East and Northern Africa,79,5.466599941253660,1.8150652647018400,0.8880544304847720,0.8191651701927190,0.5226932764053350,0.21303285658359500,0.13026630878448500,1.0783376693725600
Russia,Central and Eastern Europe,80,5.458600044250490,1.6847054958343500,1.0951956510543800,0.5862349271774290,0.40140166878700300,0.07982023805379870,0.11722828447818800,1.4940247535705600
Hong Kong S.A.R. of China,Eastern Asia,81,5.424799919128420,1.957329511642460,0.9542672038078310,0.9418286681175230,0.4003404676914220,0.3827511966228490,0.14672236144542700,0.6415553092956540
Armenia,Central and Eastern Europe,82,5.398600101470950,1.4341225624084500,0.8199043869972230,0.6681329011917110,0.5576069951057430,0.20990130305290200,0.05449013039469720,1.6544222831726100
Tajikistan,Central and Eastern Europe,83,5.377099990844730,0.9664257168769840,1.0051751136779800,0.517663836479187,0.571535587310791,0.3039129674434660,0.11757739633321800,1.8947632312774700
Nepal,Southern Asia,84,5.376500129699710,0.9844930171966550,0.7837649583816530,0.49922800064086900,0.5185115337371830,0.12980405986309100,0.23675592243671400,2.223912239074710
Bulgaria,Central and Eastern Europe,85,5.3709001541137700,1.6249457597732500,1.1628960371017500,0.6403149962425230,0.562840461730957,0.021221140399575200,0.12327451258897800,1.2354192733764600
Libya*,Middle East and Northern Africa,86,5.3302001953125,1.475775957107540,0.9425937533378600,0.6057538390159610,0.4765428602695470,0.17943421006202700,0.10595910251140600,1.5441625118255600
Indonesia,Southeastern Asia,87,5.23960018157959,1.3819719552993800,0.882904052734375,0.5392173528671270,0.6202617883682250,0.047294192016124700,0.4679258465766910,1.3000507354736300
Ivory Coast,Sub-Saharan Africa,88,5.234600067138670,1.094041109085080,0.4424029290676120,0.32237568497657800,0.4510815739631650,0.12370319664478300,0.1489081233739850,2.6520802974700900
North Macedonia,Central and Eastern Europe,89,5.198999881744390,1.5046250820159900,0.8626294136047360,0.6373797059059140,0.48750039935112,0.03100176528096200,0.2151232212781910,1.460712194442750
Albania,Central and Eastern Europe,90,5.198800086975100,1.4385340213775600,0.6457356810569760,0.7189506888389590,0.5109162330627440,0.028380626812577200,0.13838626444339800,1.717909812927250
South Africa,Sub-Saharan Africa,91,5.193900108337400,1.424950122833250,1.0882340669632000,0.36124831438064600,0.4421205520629880,0.04603973403573040,0.08886580914258960,1.7424719333648700
Azerbaijan*,Middle East and Northern Africa,92,5.173399925231930,1.4579789638519300,1.0930347442627000,0.5596011877059940,0.6008951663970950,0.34066101908683800,0.02342911623418330,1.0977892875671400
Gambia*,Sub-Saharan Africa,93,5.163599967956540,0.7848303318023680,0.6205543279647830,0.36922144889831500,0.3673870265483860,0.10253199934959400,0.38803157210350000,2.5310704708099400
Bangladesh,Southern Asia,94,5.1554999351501500,1.0602563619613600,0.6137131452560430,0.5806912779808040,0.6222731471061710,0.1867043673992160,0.12493634223938000,1.9669315814971900
Laos,Southeastern Asia,95,5.1402997970581100,1.2387919425964400,0.6542576551437380,0.4786238670349120,0.6790623068809510,0.1839979887008670,0.19653378427028700,1.7090027332305900
Algeria,Middle East and Northern Africa,96,5.122300148010250,1.3627820014953600,0.9696173667907720,0.6431504487991330,0.1459854394197460,0.1498463749885560,0.10646261274814600,1.744494915008550
Liberia*,Sub-Saharan Africa,97,5.121500015258790,0.6356145143508910,0.6700066924095150,0.3086460828781130,0.40537768602371200,0.07955851405858990,0.1778694987297060,2.844388008117680
Ukraine,Central and Eastern Europe,98,5.084099769592290,1.4112961292266800,1.0805567502975500,0.5832998156547550,0.47300830483436600,0.016815461218357100,0.18835440278053300,1.330737829208370
Congo,Sub-Saharan Africa,99,5.075200080871580,0.950382649898529,0.40516048669815100,0.35522225499153100,0.4308602213859560,0.14564387500286100,0.1300433874130250,2.6579272747039800
Morocco,Middle East and Northern Africa,100,5.059899806976320,1.2079977989196800,0.2677810788154600,0.5653759241104130,0.4923076629638670,0.10170724242925600,0.020166514441371000,2.4046075344085700
Mozambique,Sub-Saharan Africa,101,5.048299789428710,0.5782877802848820,0.6596840023994450,0.1910804808139800,0.5929921865463260,0.19968704879283900,0.1851261854171750,2.6414153575897200
Cameroon,Sub-Saharan Africa,102,5.047599792480470,0.9680230617523190,0.6716996431350710,0.3166263699531560,0.3971286118030550,0.0735725611448288,0.15178239345550500,2.46875
Senegal,Sub-Saharan Africa,103,5.04610013961792,0.9327192902565000,0.5297720432281490,0.4471515417099000,0.49369680881500200,0.08066754043102260,0.14340321719646500,2.4187207221984900
Niger*,Sub-Saharan Africa,104,5.003499984741210,0.5698729753494260,0.5600710511207580,0.32595330476760900,0.5713254809379580,0.14481307566165900,0.16462849080562600,2.666879892349240
Georgia,Central and Eastern Europe,105,4.973199844360350,1.4672424793243400,0.6117153763771060,0.5948413014411930,0.5079331398010250,0.20825719833374000,0.0,1.5831689834594700
Gabon,Sub-Saharan Africa,106,4.9583001136779800,1.4592005014419600,0.7377017736434940,0.39570119976997400,0.3431932330131530,0.09861506521701810,0.03227327764034270,1.891601324081420
Iraq,Middle East and Northern Africa,107,4.940899848937990,1.2887792587280300,0.6823609471321110,0.5542571544647220,0.3284466564655300,0.045941274613142000,0.14672881364822400,1.8943524360656700
Venezuela,Latin America and Caribbean,108,4.92549991607666,0.0,0.9678928256034850,0.5777590274810790,0.2826734185218810,0.08163151890039440,0.2252623438835140,2.7902932167053200
Guinea,Sub-Saharan Africa,109,4.890500068664550,0.8481511473655700,0.5663941502571110,0.2749532163143160,0.3338097333908080,0.11560046672821000,0.21377159655094100,2.5378012657165500
Iran,Middle East and Northern Africa,110,4.887899875640870,1.4097338914871200,0.7406527400016790,0.6417500972747800,0.28134480118751500,0.14641529321670500,0.24098455905914300,1.4269888401031500
Ghana,Sub-Saharan Africa,111,4.872000217437740,1.1115119457244900,0.5949505567550660,0.4088703691959380,0.4995107352733610,0.05557966232299810,0.2295379787683490,1.9720609188079800
Turkey,Middle East and Northern Africa,112,4.744200229644780,1.7068283557891800,0.8652169704437260,0.7018067836761480,0.20906096696853600,0.1149609237909320,0.08722689747810360,1.0591151714325000
Burkina Faso,Sub-Saharan Africa,113,4.670499801635740,0.7791023850440980,0.5649209022521970,0.31968650221824600,0.38211920857429500,0.1255418360233310,0.1864529252052310,2.3126273155212400
Cambodia,Southeastern Asia,114,4.6402997970581100,1.0191460847854600,0.7320998311042790,0.5048215985298160,0.7400385737419130,0.0679185539484024,0.16594895720481900,1.4103124141693100
Benin,Sub-Saharan Africa,115,4.623199939727780,0.9317342042922970,0.06373385339975360,0.33459755778312700,0.47882482409477200,0.22965238988399500,0.12672266364097600,2.4578986167907700
Comoros*,Sub-Saharan Africa,116,4.60860013961792,0.8993876576423650,0.4761405885219570,0.42402780055999800,0.1853092461824420,0.12532611191272700,0.1945028454065320,2.303922176361080
Uganda,Sub-Saharan Africa,117,4.60260009765625,0.7771909832954410,0.8752675652503970,0.417612761259079,0.40229445695877100,0.06628309190273290,0.22197021543979600,1.841970443725590
Nigeria,Sub-Saharan Africa,118,4.552000045776370,1.0794718265533400,0.7321566939353940,0.29988333582878100,0.4443625807762150,0.03753052279353140,0.1745624989271160,1.784003496170040
Kenya,Sub-Saharan Africa,119,4.543000221252440,1.031548261642460,0.60507732629776,0.40100958943367000,0.43996813893318200,0.08215291798114780,0.3217529356479650,1.661447286605840
Tunisia,Middle East and Northern Africa,120,4.515999794006350,1.349854588508610,0.5963210463523870,0.6562386155128480,0.3158966600894930,0.029135800898075100,0.0288959052413702,1.5397043228149400
Pakistan,Southern Asia,121,4.5157999992370600,1.048730492591860,0.4125775396823880,0.3740493059158330,0.44776955246925400,0.11168885976076100,0.18104663491249100,1.9398927688598600
Palestinian Territories*,Middle East and Northern Africa,122,4.482500076293950,1.147925615310670,0.9572246074676510,0.5206599235534670,0.3363785147666930,0.0794472023844719,0.07315609604120260,1.3677453994751000
Mali,Sub-Saharan Africa,123,4.479000091552730,0.7915929555892940,0.4831300675868990,0.31104907393455500,0.34978315234184300,0.04227355867624280,0.12841901183128400,2.372769355773930
Namibia,Sub-Saharan Africa,124,4.459400177001950,1.2923872470855700,0.8771694302558900,0.3540918529033660,0.3839171528816220,0.0708409994840622,0.06671281903982160,1.4142963886261000
"Eswatini, Kingdom of*",Sub-Saharan Africa,125,4.396100044250490,1.2736265659332300,0.7862652540206910,0.1968819499015810,0.25924956798553500,0.15409424901008600,0.037637859582901,1.688359260559080
Myanmar,Southeastern Asia,126,4.394199848175050,1.038498044013980,0.8290084600448610,0.4908556342124940,0.5129566788673400,0.19379174709320100,0.45215505361557000,0.8768932819366460
Sri Lanka,Southern Asia,127,4.362199783325200,1.415481686592100,0.9336079359054570,0.6604943871498110,0.5289205312728880,0.07856734097003940,0.14972425997257200,0.5953545570373540
Madagascar*,Sub-Saharan Africa,128,4.339099884033200,0.6703334450721740,0.6445609331130980,0.37787505984306300,0.20205067098140700,0.15351778268814100,0.14296703040599800,2.147782564163210
Egypt,Middle East and Northern Africa,129,4.287700176239010,1.388134479522710,0.7323397397995000,0.5475977659225460,0.46898600459098800,0.2543814182281490,0.0406542643904686,0.8556003570556640
Chad*,Sub-Saharan Africa,130,4.250800132751470,0.661557674407959,0.5062879323959350,0.22499430179595900,0.18028663098812100,0.07694610208272930,0.1815919578075410,2.4191346168518100
Ethiopia,Sub-Saharan Africa,131,4.241499900817870,0.7880569100379940,0.8089874386787420,0.45651620626449600,0.47245100140571600,0.13582712411880500,0.20460015535354600,1.3750920295715300
Yemen*,Middle East and Northern Africa,132,4.196899890899660,0.6914390921592710,1.0425920486450200,0.383644163608551,0.32958880066871600,0.09788461774587630,0.09038746356964110,1.5613765716552700
Mauritania*,Sub-Saharan Africa,133,4.152599811553960,1.100187063217160,0.864883303642273,0.44998860359191900,0.30393680930137600,0.13846828043460800,0.08836424350738530,1.2067911624908400
Jordan,Middle East and Northern Africa,134,4.152100086212160,1.323523998260500,0.7241126298904420,0.6749829053878780,0.4758279621601110,0.2003200352191930,0.05787775665521620,0.6954586505889890
Togo,Sub-Saharan Africa,135,4.112299919128420,0.7711066007614140,0.3215048611164090,0.3597058057785030,0.2917749881744390,0.13241630792617800,0.17440930008888200,2.061372995376590
India,Southern Asia,136,3.777100086212160,1.16701340675354,0.3755294382572170,0.47140491008758500,0.6471344828605650,0.12331824749708200,0.19789443910121900,0.7948040962219240
Zambia,Sub-Saharan Africa,137,3.7597999572753900,0.9301825165748600,0.5772325992584230,0.3064526319503780,0.5252918004989620,0.08290599286556240,0.20278066396713300,1.1349446773529100
Malawi,Sub-Saharan Africa,138,3.7504000663757300,0.6478205323219300,0.2792975604534150,0.38820958137512200,0.47693949937820400,0.15704213082790400,0.1401967853307720,1.6609387397766100
Tanzania,Sub-Saharan Africa,139,3.702399969100950,0.8484562635421750,0.5970168709754940,0.4254571795463560,0.5777864456176760,0.2704537510871890,0.248356893658638,0.7348926067352300
Sierra Leone,Sub-Saharan Africa,140,3.5739998817443800,0.6857039332389830,0.41605404019355800,0.27284371852874800,0.38702869415283200,0.05450144037604330,0.20228055119514500,1.555555820465090
Lesotho*,Sub-Saharan Africa,141,3.5118000507354700,0.8386673331260680,0.8479581475257870,0.0,0.418751060962677,0.018400054425001100,0.07606732845306400,1.311936616897580
Botswana*,Sub-Saharan Africa,142,3.471100091934200,1.5025898218154900,0.8154734373092650,0.2798006534576420,0.571353018283844,0.10199251770973200,0.012459135614335500,0.18741631507873500
Rwanda*,Sub-Saharan Africa,143,3.268199920654300,0.785251796245575,0.13269758224487300,0.4615268409252170,0.6214788556098940,0.5442358255386350,0.18666201829910300,0.5362992286682130
Zimbabwe,Sub-Saharan Africa,144,2.9951000213623000,0.9466041326522830,0.6904597878456120,0.2700861990451810,0.32920336723327600,0.10494278371334100,0.10626501590013500,0.5475285053253170
Lebanon,Middle East and Northern Africa,145,2.9553000926971400,1.3920683860778800,0.49799853563308700,0.6309643387794500,0.10279864817857700,0.03376094624400140,0.08219129592180250,0.21553683280944800
Afghanistan,Southern Asia,146,2.4038000106811500,0.757993757724762,0.0,0.2886260449886320,0.0,0.004881666973233220,0.08887280523777010,1.263403058052060
