Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
Finland,Western Europe,1,7.842100143432620,1.4463562965393100,1.1061915159225500,0.7408238053321840,0.6905766129493710,0.12420045584440200,0.4805239737033840,3.2534146308898900
Denmark,Western Europe,2,7.619500160217290,1.5015480518341100,1.1080076694488500,0.7628624439239500,0.6861603260040280,0.20761457085609400,0.4849926829338070,2.8682961463928200
Switzerland,Western Europe,3,7.571499824523930,1.56589937210083,1.0794686079025300,0.8164148330688480,0.6534879207611080,0.20403996109962500,0.413019061088562,2.8391475677490200
Iceland,Western Europe,4,7.553899765014650,1.4821898937225300,1.1722792387008700,0.7723187208175660,0.6977011561393740,0.2925264239311220,0.16993995010852800,2.966944694519040
Netherlands,Western Europe,5,7.464000225067140,1.501071572303770,1.0791510343551600,0.7534254193305970,0.6465853452682500,0.3023965656757360,0.3835311233997350,2.7978177070617700
Norway,Western Europe,6,7.392499923706060,1.5434552431106600,1.1080878973007200,0.7817675471305850,0.7031350135803220,0.2489185482263570,0.4268389642238620,2.580300807952880
Sweden,Western Europe,7,7.36269998550415,1.478426218032840,1.0615882873535200,0.7628718614578250,0.6849016547203060,0.24421997368335700,0.44760826230049100,2.6830930709838900
Luxembourg,Western Europe,8,7.324399948120120,1.7507855892181400,1.0029783248901400,0.7597206830978390,0.6393625140190130,0.16607677936554000,0.35261353850364700,2.6528663635253900
New Zealand,Australia and New Zealand,9,7.276599884033200,1.4000682830810500,1.093900442123410,0.7849212884902950,0.6654025912284850,0.2755538821220400,0.44494184851646400,2.6118011474609400
Austria,Western Europe,10,7.2677998542785600,1.4921637773513800,1.062422513961790,0.7817584276199340,0.6399840712547300,0.21508997678756700,0.2920558750629430,2.7842845916748000
Australia,Australia and New Zealand,11,7.183499813079830,1.4534845352172900,1.0758804082870500,0.8006671071052550,0.6472353935241700,0.2913886308670040,0.31698212027549700,2.5978565216064500
Israel,Middle East and Northern Africa,12,7.157100200653080,1.3763267993927000,1.07381272315979,0.7881687879562380,0.5089752078056340,0.20798835158348100,0.1187649592757230,3.0830140113830600
Germany,Western Europe,13,7.1545000076293900,1.4803659915924100,0.9925621747970580,0.7565743923187260,0.6004118323326110,0.19491444528102900,0.30559656023979200,2.8240256309509300
Canada,North America,14,7.103300094604490,1.4466791152954100,1.044359564781190,0.7975085377693180,0.6484853029251100,0.24622412025928500,0.33458682894706700,2.5854320526123000
Ireland,Western Europe,15,7.085299968719480,1.6444793939590500,1.091831088066100,0.7534213662147520,0.6055065393447880,0.2383265197277070,0.3674488365650180,2.3843045234680200
Costa Rica,Latin America and Caribbean,16,7.069399833679200,1.1335699558258100,0.9658473134040830,0.7219244837760930,0.6725239157676700,0.10547269135713600,0.08328060060739520,3.3867838382720900
United Kingdom,Western Europe,17,7.063600063323980,1.4225784540176400,1.06199049949646,0.7565741539001470,0.580345630645752,0.3402424156665800,0.3060355484485630,2.595834732055660
Czech Republic,Central and Eastern Europe,18,6.964700222015380,1.3698246479034400,1.090193271636960,0.7032392621040340,0.5800207853317260,0.05206361413002010,0.04563715308904650,3.123739242553710
United States,North America,19,6.951499938964840,1.5329774618148800,1.0301469564437900,0.6211386322975160,0.5539203882217410,0.252187579870224,0.1538696587085720,2.8072967529296900
Belgium,Western Europe,20,6.834000110626220,1.463081955909730,0.997890293598175,0.7471046447753910,0.48864832520484900,0.08792529255151750,0.18733766674995400,2.8620285987854000
France,Western Europe,21,6.689899921417240,1.4214428663253800,1.0808327198028600,0.8038071990013120,0.5355432033538820,0.09239309281110760,0.23506233096122700,2.520777702331540
Bahrain,Middle East and Northern Africa,22,6.646900177001950,1.4091163873672500,0.8990120887756350,0.6619321703910830,0.6610322594642640,0.2461077868938450,0.13861463963985400,2.6310997009277300
Malta,Western Europe,23,6.6020002365112300,1.410881519317630,1.0551129579544100,0.7471227049827580,0.6637340784072880,0.27450403571128800,0.1826171875,2.2679905891418500
Taiwan Province of China,Eastern Asia,24,6.584400177001950,1.4798239469528200,0.9815506935119630,0.6652359366416930,0.4899129569530490,0.14198705554008500,0.13903158903121900,2.6868221759796100
United Arab Emirates,Middle East and Northern Africa,25,6.560500144958500,1.5545523166656500,0.8601416349411010,0.5938335657119750,0.6700464487075810,0.23624581098556500,0.22332940995693200,2.4223198890686000
Saudi Arabia,Middle East and Northern Africa,26,6.49399995803833,1.4349323511123700,0.9641367197036740,0.5708486437797550,0.6029582023620610,0.0904901772737503,0.1628357470035550,2.667757987976070
Spain,Western Europe,27,6.490699768066410,1.3749617338180500,1.0565775632858300,0.8258600234985350,0.46193286776542700,0.13504338264465300,0.12375995516777000,2.5125856399536100
Italy,Western Europe,28,6.483099937438970,1.3931456804275500,0.9402785897254940,0.7975162267684940,0.3786349892616270,0.13302730023860900,0.04693835973739620,2.793569803237920
Slovenia,Central and Eastern Europe,29,6.460700035095220,1.3604670763015700,1.0934864282608000,0.7219191789627080,0.6897962093353270,0.12229762226343200,0.08472754061222080,2.387974739074710
Guatemala,Latin America and Caribbean,30,6.434500217437740,0.8448103666305540,0.7900813817977910,0.5190408229827880,0.6377022862434390,0.1634448617696760,0.10459919273853300,3.37481689453125
Uruguay,Latin America and Caribbean,31,6.431399822235110,1.1635020971298200,1.0416945219039900,0.6494903564453130,0.6254554986953740,0.12781445682048800,0.22305861115455600,2.600344181060790
Singapore,Southeastern Asia,32,6.376500129699710,1.695391058921810,1.0189937353134200,0.8968137502670290,0.66372150182724,0.17595279216766400,0.5467753410339360,1.378849983215330
Kosovo,Central and Eastern Europe,33,6.372000217437740,0.9373340010643010,0.8073555827140810,0.48296672105789200,0.5928694009780880,0.35589656233787500,0.013937699608504800,3.1816439628601100
Slovakia,Central and Eastern Europe,34,6.330900192260740,1.3044217824935900,1.066245198249820,0.6526585817337040,0.4680323302745820,0.1072302758693700,0.017916766926646200,2.714428186416630
Brazil,Latin America and Caribbean,35,6.330100059509280,1.0278451442718500,0.9439684152603150,0.5707787275314330,0.5143135190010070,0.14162582159042400,0.11666901409626000,3.0149075984954800
Mexico,Latin America and Caribbean,36,6.316800117492680,1.1262321472168000,0.829717218875885,0.6336547136306760,0.584987998008728,0.09220424294471740,0.0894470289349556,2.9605562686920200
Jamaica,Latin America and Caribbean,37,6.309199810028080,0.8912045955657960,0.9324901700019840,0.5990965962409970,0.6179500818252560,0.09873521327972410,0.035032786428928400,3.1347293853759800
Lithuania,Central and Eastern Europe,38,6.25540018081665,1.3497631549835200,1.0650265216827400,0.6118851900100710,0.4763244390487670,0.05575535073876380,0.07251642644405370,2.624112844467160
Cyprus,Western Europe,39,6.223499774932860,1.3767735958099400,0.7653141617774960,0.8005865812301640,0.4639536142349240,0.17824411392211900,0.06068984046578410,2.5779454708099400
Estonia,Central and Eastern Europe,40,6.188799858093260,1.3436338901519800,1.07881760597229,0.6400372385978700,0.6412279605865480,0.11869920790195500,0.26318541169166600,2.1032304763793900
Panama,Latin America and Caribbean,41,6.179599761962890,1.2978569269180300,0.976140022277832,0.6668770909309390,0.596409022808075,0.07949862629175190,0.05334916338324550,2.509446382522580
Uzbekistan,Central and Eastern Europe,42,6.178800106048580,0.7690013647079470,1.027037262916570,0.5284002423286440,0.7159636616706850,0.39065924286842300,0.27055713534355200,2.4772260189056400
Chile,Latin America and Caribbean,43,6.171899795532230,1.2003555297851600,0.9455326795578000,0.6778346300125120,0.4377621114254000,0.15907956659793900,0.06950421631336210,2.6817915439605700
Poland,Central and Eastern Europe,44,6.166100025177000,1.3089760541915900,0.9815690517425540,0.6684379577636720,0.5583668947219850,0.08042557537555700,0.13009196519851700,2.4382529258728000
Kazakhstan,Central and Eastern Europe,45,6.151800155639650,1.2295936346054100,1.1028239727020300,0.5266538262367250,0.5728469491004940,0.14267094433307600,0.13153886795043900,2.445716381073000
