Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.768899917602539,1.340242862701416,1.587275743484497,0.9861449599266052,0.5958953499794006,0.39291271567344666,0.15270842611789703,2.7136778831481934
Denmark,Western Europe,2,7.600100040435791,1.3834385871887207,1.5725950002670288,0.9960188865661621,0.5923560857772827,0.41047319769859314,0.25231999158859253,2.3928909301757812
Norway,Western Europe,3,7.553899765014648,1.487766981124878,1.5815483331680298,1.028122901916504,0.6034998297691345,0.3408835232257843,0.271304190158844,2.2407641410827637
Iceland,Western Europe,4,7.493599891662598,1.3801631927490234,1.623651146888733,1.025652527809143,0.5909053683280945,0.11797972768545151,0.35435640811920166,2.4008755683898926
Netherlands,Western Europe,5,7.487599849700928,1.3960204124450684,1.521903395652771,0.9993137121200562,0.5570752024650574,0.29797807335853577,0.322439581155777,2.392894744873047
Switzerland,Western Europe,6,7.480199813842773,1.4522446393966675,1.5262786149978638,1.0519890785217285,0.5715141296386719,0.34261566400527954,0.26346397399902344,2.272113800048828
Sweden,Western Europe,7,7.343299865722656,1.3865772485733032,1.4873067140579224,1.0092029571533203,0.5744203925132751,0.3732021749019623,0.26702430844306946,2.2455272674560547
New Zealand,Australia and New Zealand,8,7.307499885559082,1.302586317062378,1.5572339296340942,1.0256352424621582,0.5851464867591858,0.3802809417247772,0.3298426866531372,2.126791477203369
Canada,North America,9,7.27810001373291,1.3648960590362549,1.5047409534454346,1.0388115644454956,0.5839518904685974,0.3080379068851471,0.2850203514099121,2.192688465118408
Austria,Western Europe,10,7.245999813079834,1.3755419254302979,1.4752224683761597,1.0157766342163086,0.5320748090744019,0.22622106969356537,0.24356669187545776,2.3775482177734375
Australia,Australia and New Zealand,11,7.228000164031982,1.371545433998108,1.547957420349121,1.035531997680664,0.557171642780304,0.28996217250823975,0.33154916763305664,2.0942869186401367
Costa Rica,Latin America and Caribbean,12,7.167399883270264,1.0342495441436768,1.4411207437515259,0.9631057381629944,0.5580353736877441,0.09347061067819595,0.14439800381660461,2.932985782623291
Israel,Middle East and Northern Africa,13,7.138700008392334,1.2758396863937378,1.454642415046692,1.0289690494537354,0.37057629227638245,0.08212055265903473,0.26147475838661194,2.6650524139404297
Luxembourg,Western Europe,14,7.0903000831604,1.6087615489959717,1.478806734085083,1.0124820470809937,0.526162326335907,0.3156965672969818,0.19430039823055267,1.9540858268737793
United Kingdom,Western Europe,15,7.053699970245361,1.3329524993896484,1.5375850200653076,0.9960178732872009,0.44952207803726196,0.2775951623916626,0.3482462763786316,2.111733913421631
Ireland,Western Europe,16,7.021100044250488,1.499218225479126,1.553267240524292,0.9993114471435547,0.5156188011169434,0.31024226546287537,0.29825177788734436,1.845146656036377
